full_text,sentiment
"Jangan hentikan aksi boikot dan tetap konsisten dalam mendukung boikot produk zionis kaya produk Danone Aqua",positif
"Untung ga gampang ke makan sama hoax. Jadi ga asal boikot produk. Apalagi aqua jelas banget mendukung palestina. Stop boikot aqua",negatif
"Amin, akhirnya yang benar bahwa Aqua itu Pro Palestina jadi tidak ada gunanya lagi ikut-ikutan untuk boikot produknya Danone. Makin bijak dan berhati-hati agar tidak ikutan nyebarin fitnah soal Aqua👌🙏",negatif
"Sumber dari mana ya kalo aqua tuh produk boikot?",netral
"@sayyang___ Jangan asal boikot gitu aqua itu pro Palestina dan tidak ada do list boikot lo",negatif
"@matyhir wihh keren danone langsung kasih pernyataan resmi yang didukung PBB. udah ya jangan asal boikot aqua ga termasuk!",negatif
"@sayyang___ Yuk netizen yang budiman stop boikot aqua yuk. Dia udah banyak donasi ke palestina nih",negatif
"@kaptenAmercia Lahh kan beneran udah ku duga sih kalo aqua tuh bela palestina. Plis jangan boikot aqua lagi yok",negatif
"Tetap boikot Danone Aqua supaya induk Aqua si Danone tidak bisa mengalirkan dana ke Israel !!!",positif
"Gass boikot Danone Aqua produk pro isriwil haram",positif
"Sebenernya aqua itu masuk list boikot engga?",netral
"Tetap boikot mcd Pizza hut",positif
"pizza hut boikot ga sih?",netral
"boikot mcd/starbucks adalah aksi tergblok sepanjang masa",negatif
"Gas boikot McD, kfc jgn kasih kendor.",positif
"Yok semangat boikot McD dan kfc gaes. Lagian banyak kok produk lokal yang setara",positif
"@wiwikbiee @BiLLRaY2019 @FirzaHusainID @seruanhl @Aryprasetyo85 @sehatAQUA @DS_yantie @Dwi_Ekaputri @cacawijaya_ Ternyata aksi boikot produk terafiliasi pro zionis Israel seperti danone aqua MCD KFC Nestle ini sangat berpengaruh lho jadi kenapa kita tidak lakukan saja aksi boikot ini",positif
"Ayo.... semangat boikot itu pengaruh #IsraelNewNazism #StopGazaGenocide #BoycottIsraelProducts : Boikot McDonal Starbuck KFC Burger King Nestle Danone Unilever https://t.co/KvUZWN3PN3",positif
"boikot mcd kfc pizza hut domino dll itu gampang yg susah itu boikot unilever bjir",netral
"Kadrun itu cuma berani boikot McD KFC dan Starbucks yang jarang mereka beli.sedangkan produk Unilever sampe sekarang aja mereka berani ngak berani boikot karena produk tersebut Ndak bisa lepas dari aktivitas padahal sama-sama produk yahudi",netral
"gue dah lama boikot mcd &amp; produk unilever kalo sbux emg gapernah beli. tapi ada aja org TONE DEAF yg bangga ya ternyata. padahal cuma boikot loh? sesusah itu kah?",positif
"@author_wetpet Trus apa manfaat yang di dapet Palestina dari gerakan ini? Gak jelas mending kumpulin donasi buat Palestine. Kalian boikot Mcd stbk unilever sampe bangkrut juga ga ngefek ke israelnya yg ada malah rugiin ekonomi negara kita sndri",negatif
"Gw dukung boikot mcd simplenya ya karena mereka 'Terlibat' dalam dukung tentara israel",positif
"Dukung palestina gak berarti gw harus dukung hoax. Buat gw boikot mcd, starbuck itu gak lebih dari fitnah. Karena gak ada buktinya, kalo lu seneng nyebar finah ya sana... gw ogah.",negatif
"Kasih alesan dong kenapa gua kudu boikot mcd starbucks dll. Karyawan sana juga saudara kitakan? Justru lebih dekat. Gua jg pernah diposisi mereka. Gua ga dukung genoside tapi gua masih milih untuk bantu saudara terdekat",negatif
"terus boikot mcd kfc, dukung terus brand lokal ✨",positif
"Lagian keadaan kyk begini ekonomi lagi terpuruk, gak ush nyalahin org boikot, lu pikir aja makan di KFC or MCD 1 org minimal 40rban, udh gitu dukung zionis, mending beli ayam geprek, kalau gak org kaya atau nunggu promo bakal jarang yg beli.",negatif
"dari awal boikot ada udah ga pernah lagi jajan mcd dan selalu nolak tiap diajak beli mcd. Bangga? jelas! dengan gak dukung brand brand yang ada di belakang israel itu udah jauh lebih baik gais🤍",positif
"so far brand yg udah secara konsisten gw boikot dan semoga selalu konsisten: - nestle - starbucks - pizza hut - kfc - mcd - burger king masih akan terus pelan pelan boikot yg possible buat diboikot",positif
"nestle boikot kan ya?",netral
"Teruskan boikot nestle! Jahat!",positif
"guys nestle di boikot ngga?",netral
"@_JANGAN_DIAM Org dah lama boikot Nestle sebab pro Israel.",positif
"Nestle Unilever punya Israel produk produk Unilever mesti di boikot woy tapi masih aja dibeli ama rakyat Indonesia ini perusahaan Israel 7 turunan nggak habis habis kali harta Israel hampir seluruh dunia dikuasi oleh mereka. Unilever tuh produknya banyak banget lagi.",positif
"Akuu masih boikot sampe ke produk sehari2 ataupun makeup skincare kaya garnier unilever nestle loreal maybelline cadbury oreo danone",positif
"Pak ayo boikot Burger King https://t.co/FCzf5emdRc",positif
"baru tau kalau oreo produk di boikot",netral
"Apakah Oreo dan Biskuat Bagian Dari Israel? Selektif Dalam Memilih Produk Pada Gerakan Boikot",netral
"di keluargaku kalo ngerayain sesuatu selalu ke pizza hut semenjak boikot mama belajar bikin pizza sendiri (dan enak btw). kalo ponakan ke rumah biasanya dibeliin mcd atau burger king semenjak boikot mama rajin masak buat mereka. boycott is easy if you want to.",positif
"Sebenernya dulu mekdi kfc pizza hut tu udh ada gerakan buat di boikot sekitar taun 2014(?) an lupa Cma gatau kenapa seiring berjalannya waktu org org ramein mekdi pizza hut dkk lagi Trs pas ada berita genosida di Palestina ini akhirnya org org nge boikot lagi",netral
"gue team boikot kok, cuma orang-orang makin kesini makin kesana. padahal fokus ke perusahaan atau produk yang udah terang-terangan dukung israel kaya MCD, Starbucks, KFC, Pizza Hut, Unilever, dll. FOKUS KE SITU AJA. tiba-tiba ada ajakan boycott Mayora, Wings Group.",positif
"Ttp ke pizza hut sih krn deket dr kostan wkwkwkw bodo amatan sama boikot yg kerja juga org Indonesia, bahan2nya juga dari Indonesia, ada certificate halal, jd ya ttp kesana, klo boikot ngapain mui ngeluarin certificate halal wkwkwkwk",negatif
"Karena masih Boikot produk Pizza hut, sekarang kalian kalau mau beli Pizza kemana guys? Coba drop rekomendasi kalian!",netral
"Jujur, engga sih. Belum ada yang bisa kalahin rasa-rasa makanan yang diboikot kayak mcd kfc dan pizza hut tapi gapapa namanya boikot kan tergantung hati nurani. Kalau mau menghibur diri dengan mencari makanan yang mirip-mirip rasanya juga gapapa.",netral
"Boikot Pizza Hut pendukung Zionis Isr4el genosida di Gaza #TerusBoikotIsrael",positif
"Teruskan boikot KFC dan Pizza Hut.",positif
"Sebelum rame boikot saya juga gak pernah beli tapi sering dibawain entah itu Starbucks or Pizza Hut sama ibu Bos tapi emang gak enak sih 😌",negatif
"Benar sekali Boikot produk pro israel benar-benar ngefek. bahkan agensi periklanan yang biasa iklanin unilever ketar-ketir, yups dibanding iklan mereka milih untuk csr untuk branding produk mereka. bahkan sekelas pizza hut di bawah papannya ada tulisan mushola.. lanjutkan boycott",positif
"Boikot brand paling sulit gue lakuin adalah boikot pizza hut😔😔😔 gue secinta itu sama pizza apalagi menu pizza hut yg tuna😔💔",negatif
"Jangan lupa boikot Oreo dan Aqua guys... 🥰",positif
"Selama boikot juga aku jadinya Nemu Nemu resto dan food chains lokal yang rasanya jauhh lebih enak dari produk liat diatas😊 oh iya kalo burger king bisa loh kalian ganti jadi Wendy's atau Burger Bangor! My fav menu kalo di Burger Bangor Juragan Cheese🤤",positif
"Tetap kurangi pemakaian produk terafiliasi israel,  blm bs berenti total karena barang kebutuhan rumah beberapa produk terafiliasi. Namun ttp mengurangi pemakaian. Kfc mcd burger king udah lama nggak beli sjk rame boikot.",negatif
"Jangan lupa boikot burger king‼️",positif
"Setidaknya perusahaan makanan kek mekdi, starb, burger king, kfc, domino, dll yg kalian boikot. Karena perusahaan makanan ini paling sering nyumbang. Produk unilever kan juga banyak, setidaknya ganti yg bsa di ganti. Kalo ga bsa yaudah ga mslh. Setidaknya udh bnyk yg lu boikot",positif
"Wajib boikot produk berdasarkan Irsyadat MUI : DANONE NESTLE ZARA KRAFT HEINZ UNILEVER COCA COLA GROUP MCD BURGER KING KURMA ISRAEL #FuckIsrael #BoycottIsraeliProducts #EndIsraelsGenocide https://t.co/fAbNHyx10a",positif
"Sempet ditanya boikot produk ga? Ya gue sebisa mungkin boikot sih terlebih produk Unilever sbux sama mcd kfc pizza hut dan burger king. Lumayan juga jadi hemat wkwk pindah ke Wings yg lebih hemat terus w jadi ngopi di kopken serta ngurangin fast food akhir akhir ini masak!",positif
"Ayo mari terus Boikot Produknya Unilever Termasuk Gerai makanan KFC McDonald Pizza hut burger King.. Kembalilah Belanja Produk lokal dan masih Banyak produk lain yang tidak terafiliasi ke Israhell... https://t.co/H6NfztQVbX",positif
"@LoudMinorities Percuma Jga Boikot Boikot..emang tau apa mereka yg tereak2 soal Boikot ttg Tax Branding Royalty Franchising atas Nama Saham Merk2 Dagang macam Mc'D Pizza Burger King dst..lha wong Negara2 Arab aja nggk ngeBoikot Minyak ke US 🇺🇸 koq..blm lagi pemakaian $US Currency..",negatif
"@kuehaluss @ayaayyawae @duobutterflies @tanyakanrl Denial bgt ya kak tmnny wkwkw soalny dia msi suka burger king jd gmw ikut boikot tkut dikatain Halah lu aja masih makan Burger King ngapain boikot boikot wkwkw",negatif
"@tanyakanrl Boikot ajalah KFC ini jgn kasih kendor... Biar mereka tutup gerai KFC di Indonesia. Begitu pula Mc Donalds Pizza Hut Burger King Starbucks Unilever Danone Nestle P&G Mondelez dll.",positif
"@nerofortes Gimana dengan pizza hut? Burger king? Mereka di boikot juga padahal ga investasi ke israel",netral
"Saya dengan senang hati akan memboikot starbak mekdi burgerking. Selain benci dengan israel alasan boikot sebenarnya lebih ke miskin",positif
"@svoupy @obiisme tweet ini bilang target boikot lu salah emang lo kira gw cuma boikot sbux terus kelar? Yakali. Gw udah gak pernah tuh ke mcd dominos pizza hut burger king. Gw juga stop subscription disney+. Boycotting sbux are one of the few things I m doing in support of Palestine",positif
"DIBILANG BOIKOT BOIKOT TAI!!! LU MASIH AJA MAKAN MCD KFC STARBUCKS BURGERKING PIZZAHUT DOMINOS. TRUS ADA YANG BILANG YAUDAH YANG ISLAM AJA BOIKOT! HEH INI BUKAN CUMA AGAMA ISLAM DI PALESTINA JUGA BANYAK PENGANUT KRISTEN DLL. INI TUH PEMBUNUHAN GENOSIDA BUKAN PERANG TOLOL!!",negatif
"gue dari tahun lalu udah mulai boikot produk pro isriwil dan berhenti beli makan di McD KFC dan burger king. biasanya setiap pulsek gue selalu mampir ke BK tapi smenjak di boikot gue udah ga mampir lgi ke BK McD dan KFC.",positif
"maunya burger king tp masih masa boikot",netral
"Semakin semangat yuk netizen +62 untuk boikot Starbuck KFC MCD King Burger",positif
"dari dulu pengen nyobain burger king mcd subway domino dll yg belum ada diponti udah dsini kaya semua uda adaa tinggal nyobain tp lagi boikot semoga ttp konsisten boikot produk isriwil",netral
"Beberapa kali lihat video ada yg menunjukkan kalau McD ramai lagi Burger King ramai lagi. Bagaimana tidak kalau cara boikotnya tidak fokus? Malah sibuk boikot sana-sini yg bukan target utama bahkan bukan target sama sekali. Giliran tidak berhasil menyalahkan orang lain.",negatif
"Pgn tetap boikot produk israel tp jujurly gw udh lama ga makan burger king",netral
"Tetap boikot produk teman2. Semua ada efeknya. Produk yg harus diboikot karena secara terang2an mendukung genosida antara lain pizza hut mcdonald burger king dominos pizza #FreeGaza #FreePalestine Trend hashtag #zenius #konserlilinputih #HappyNewYear2024 #happynewyear",positif
"@_JANGAN_DIAM Org boikot produk Nestle la. Support Zionis Israel.",positif
"@tanyakanrl Gue udh kurang percaya sm dia sejak masalah boikot nestle pure life dia bilang jng sampe gerakan boikot malah menzolimi orang2 yg bekerja disana yg gada hubungannya. Mana bandinginnya sama lays yg udh ganti merk jd chitato ya beda lah.",negatif
"Dah boleh boikot nestle permanently",positif
"guys nestle di boikot ngga?",netral
"Salah satu kerugian bila boikot nestle",netral
"Yg teriak2 boikot apakah kalau dikasih offering 2 digit di Nestle atau Unilever akan ditolak juga?",negatif
"Udah sejak awal boikot udah ninggalin produk Unilever dan nestle sekarang pake wings terus.",positif
"@mardial Dari belasan tahun lalu issue boikot produk Israel (Unilever nestle dll) udah ada dan belum booming ky sekarang ulama Saudi dan turunannya salah satu yg banyak kasih fatwa kl boikot itu pilihan personal dan tetap boleh konsumsi barang itu skrg aja byk yg maksa utk boikot",netral
"@Pelabur_Bijak Aku boikot McD tapi aku beli kat Mary Brown. Aku boikot Starbucks tapi aku beli kat ZUS. Aku boikot Nestle ice cream tapi aku beli King ice cream. Ekonomi jalan teruih.",netral
"@_JANGAN_DIAM Org dah lama boikot Nestle sebab pro Israel.",positif
"Aku dah lama boikot nestle ni...",positif
"Walaupun digempur isu boikot tetapi Unilever Indonesia menunjukan kepeduliannya terhadap saudara² di Palestina dengan memberikan donasinya https://t.co/0ftjBWMzba",netral
"heran deh sama yg masih kemakan hoax boikot jelas2 unilever indonesia udah banyak donasi ke palestina jelas mereka memihak palestina lah https://t.co/wjRvcxaxoM",netral
"Walaupun udh di fitnah dan di boikot Unilever Indonesia tetap berikan bantuan ke Palestina. Alhamdulillah semoga berkah https://t.co/saJGFoeUf6",netral
"Gara gara duluan boikot Aice soal kasus tdk memanusiakan karyawannya malah jadi pindah ke walls. Tp karna walls under Unilever skrg makan es krim joyday glico diamond (ga pernah Nemu tp). I hope these brands are safe https://t.co/Oerfwqghi2",netral
"pas boikot mcd masih biasa aja unilever juga b aja. ehhh pas tau info ini tuu hhaaaa nohoook sekaliiii bay austin #boikotHomescapes #boikotplayrix https://t.co/DUPa2a4Nii",netral
"Akhirny McDonalds mnyerah dgn grakan boikot d dunia&amp;membeli kmbl gerai2nya yg ad d Israel Efektivitas aksi boikot ini smg jd pnyemangat kita utk lanjut boikot prodk yg msh terafiliasi dg Israel sprt prodk2 Unilever&amp;lain2ny tujuanny agar Israel smakn dikucilkan oleh msyrkt lobal https://t.co/gpd8wY0CE7",positif
"Meskipun kita tidak ikut berperan secara langsung tapi Insha Allah ini dapat membantu saudara-saudara kita di Palestina semoga tetap bernilai pahala di mata Allah. Tetap lanjutkan boikot produk yang terafiliasi dengan Israel. #boikot #unilever https://t.co/JMVO6Vmv4e",positif
"kalau bapakku kontra nya krna yg kita boikot Unilever dan yg ada di indo yg sekitanya kita pake produk itu sehari2 kalau yg McD Starbucks dll nya itu baru blio bilang nah ituuu yg wajib diboikot kalau Unilever Indo iya blio mikirin pekerjanya",netral
"Heran bgt boikot boikot tp buktinya unilever masih lancar jaya.. mcd masih aman sentosa.. sbux masih laris manis Minimal sih show with actions jg gacuma jago orasi ajaaaaa Maaf ya gengs I'm simply boycotting by not buying their products maaf gabisa ikut orasi",netral
"https://www.hops.id/unik/29412185755/ykmi-ajak-umat-muslim-wajib-boikot-inilah-daftar-produk-yang-terafiliasi-israel-mulai-dari-restoran-siap-saji-produk-air-mineral-hinggafashion YKMI Sebut 10 Produk Terafiliasi Israel yang Masuk Daftar Boikot Mulai Ramadhan 2024: Starbucks Danone Nestle Zara Kraft Heinz Unilever Coca Cola Group McDonalds Mondelez Burger King dan Kurma Israel",netral
"ak tanya kalian tau ga produk unilever itu masuk list boikot? masi pada pake ga? coba cek gih bedanya kita bukan artis makanya gada yg komplen jadi sabar dulu ye ANJIR",netral
"Dulu emang aku sering denger tentang isu boikot unilever fast food mcd kfc gitu2 tp gak semassive sekarang. Alhamdulillah sekarang udah orang2 paham",netral
"Kalau mayora agak2 maju mundur kena soalnya dia kan perusahaan go publik ya susah ngontrol saham yg masuk jadi aku masih ga terlalu boikot Kalau unilever emg terang2an si support israel Kalau Google ini agak sulit dihindari kek aplikasi lain aplikasi aku jadiin tmpt speak up",netral
"buset voucher diskonnya unilever semua ya sasaran boikot ni gencar sekali marketingnya",netral
"Ini sejak unilever di boikot. Wings jor joran bgt promonya.",netral
"Alhamdulillah untuk big 3 dan american resto yg ngedukung isriwil kek phd domino burgerking unilever masih lanjut boikot",positif
"Boikot e wes ga usum ta? Ga menyalahkan tzuyu krna dia first love ku tp ini produk unilever loh",netral
"unilever masuk dalam list boikot gak ya? yang tau please rep",netral
"meski stres tak berkurang tapi hidup tetap berjalan dengan boikot sbx disney mcd loreal unilever burger king...",positif
"Sudah pasti boikot Pizza Hut",positif
"ini keluhan gue dr sblm jaman boikot... kenapa dominos... ama pizza hut... menunya banyak bgt... pdhl mereka bisa bikin 1 menu per size trus kita disuruh centang varian topping sama crust... apa gue aja yg jadi ceonya... biar langsung dukung palestine juga...",netral
"pizza hut tuh produk boikot kan?",netral
"Teruskan boikot KFC dan Pizza Hut.",positif
"Ada yang tau ga ya pengganti pizza hut apa.... soalnya kdg pengen banget pizza cuma dua-duanya boikot",netral
"domino sama pizza hut kan lg boikot ya terus beli apa yaa lagi bm banget pizza :)",netral
"Dahsyatnya Solidaritas Pro Palestina Boikot Produk Pro Israel KFC Pizza Hut Krispy Kreme dan Hardee's Mulai Terdampak https://www.al-monitor.com/originals/2024/05/kfc-pizza-hut-profit-middle-east-cut-half-amid-gaza-war-boycotts",positif
